# BEGIN HISTOGRAM /REF/CMS_2013_I1273574/d01-x01-y01
AidaPath=/REF/CMS_2013_I1273574/d01-x01-y01
Title=Leading hard jet $\eta$ in pp$\rightarrow$ 4j in $|\eta|<4.7$ at $\sqrt{s}$ = 7 TeV
XLabel=$\eta$
YLabel=$d^\sigma\,/d\eta\; [\text{pb}/rad]$
PolyMarker=*
ErrorBars=1
## Area: 3.277694e+05
## Num bins: 18
## xlow  	xhigh   	val    	errminus	errplus
2.692794e+00	2.917194e+00	1.016194e+00	1.674222e-02	1.674222e-02
2.917193e+00	3.141593e+00	1.916059e+00	2.882215e-02	2.882215e-02
# END HISTOGRAM


# BEGIN HISTOGRAM /REF/CMS_2013_I1273574/d05-x01-y01
AidaPath=/REF/CMS_2013_I1273574/d05-x01-y01
Title=$\Delta\phi^{soft}$ in pp$\rightarrow$ 4j in $|\eta|<4.7$ at $\sqrt{s}$ = 7 TeV
XLabel=$\Delta\phi^{soft}$
YLabel=$d^\sigma\,/d\Delta\phi^{soft}\; [\text{pb}/rad]$
PolyMarker=*
ErrorBars=1
## Area: 3.270385e+05
## Num bins: 14
## xlow  	xhigh   	val    	errminus	errplus
0.000000e+00	2.243994e-01	7.318856e+04	9.992354e+03	9.992354e+03
2.243995e-01	4.487989e-01	7.515650e+04	1.083728e+04	1.083728e+04
4.487990e-01	6.731984e-01	8.727549e+04	1.185766e+04	1.185766e+04
6.731985e-01	8.975979e-01	8.356137e+04	1.199196e+04	1.199196e+04
8.975983e-01	1.121998e+00	7.704275e+04	1.065121e+04	1.065121e+04
1.121997e+00	1.346397e+00	8.388356e+04	1.189163e+04	1.189163e+04
1.346397e+00	1.570797e+00	8.577194e+04	1.149989e+04	1.149989e+04
1.570797e+00	1.795197e+00	9.365067e+04	1.214311e+04	1.214311e+04
1.795196e+00	2.019596e+00	9.848696e+04	1.254653e+04	1.254653e+04
2.019595e+00	2.243995e+00	1.150644e+05	1.533922e+04	1.533922e+04
2.243994e+00	2.468394e+00	1.247481e+05	1.544069e+04	1.544069e+04
2.468394e+00	2.692794e+00	1.408421e+05	1.991650e+04	1.991650e+04
2.692793e+00	2.917193e+00	1.605410e+05	2.227075e+04	2.227075e+04
2.917193e+00	3.141593e+00	1.581810e+05	2.366287e+04	2.366287e+04
# END HISTOGRAM


# BEGIN HISTOGRAM /REF/CMS_2013_I1273574/d06-x01-y01
AidaPath=/REF/CMS_2013_I1273574/d06-x01-y01
Title=Normalized $\Delta\phi^{soft}$ in pp$\rightarrow$ 4j in $|\eta|<4.7$ at $\sqrt{s}$ = 7 TeV
XLabel=$\Delta\phi^{soft}$
YLabel=$1/\sigma d^\sigma\,/d\Delta\phi^{soft}\; [1/rad]$
PolyMarker=*
ErrorBars=1
## Area: 1.000029e+00
## Num bins: 14
## xlow  	xhigh   	val    	errminus	errplus
0.000000e+00	2.243994e-01	2.237984e-01	1.128095e-02	1.128095e-02
2.243995e-01	4.487989e-01	2.298161e-01	1.161068e-02	1.161068e-02
4.487989e-01	6.731983e-01	2.668739e-01	1.055938e-02	1.055938e-02
6.731985e-01	8.975979e-01	2.555168e-01	1.024739e-02	1.024739e-02
8.975983e-01	1.121998e+00	2.355839e-01	1.127797e-02	1.127797e-02
1.121998e+00	1.346398e+00	2.565020e-01	1.213773e-02	1.213773e-02
1.346397e+00	1.570797e+00	2.622763e-01	6.023102e-03	6.023102e-03
1.570797e+00	1.795197e+00	2.863682e-01	6.383433e-03	6.383433e-03
1.795196e+00	2.019596e+00	3.011568e-01	7.193520e-03	7.193520e-03
2.019595e+00	2.243995e+00	3.518479e-01	8.027408e-03	8.027408e-03
2.243994e+00	2.468394e+00	3.814590e-01	1.326075e-02	1.326075e-02
2.468394e+00	2.692794e+00	4.306717e-01	1.480361e-02	1.480361e-02
